number,value,params_alpha,params_colsample_bytree,params_eval_metric,params_lambda,params_learning_rate,params_max_depth,params_min_child_weight,params_objective,params_subsample,params_tree_method,state
0,8.182310049798359,0.007859049442261538,0.9554986860221695,rmse,0.3305768971096908,0.08921268994575038,9,3,reg:squarederror,0.517709935028232,gpu_hist,COMPLETE
1,7.817262825836979,0.25846513285605965,0.43027025811253616,rmse,0.0018273925372924622,0.03430148042719526,7,240,reg:squarederror,0.9920142169273097,gpu_hist,COMPLETE
2,7.874637579232947,3.077903868691549,0.4873477968101976,rmse,0.02393380737997883,0.04650198654747897,9,21,reg:squarederror,0.8689846021405283,gpu_hist,COMPLETE
3,7.911336543443409,0.0018926701758290472,0.3193593512424591,rmse,0.2927976879961259,0.0019343598335683537,17,270,reg:squarederror,0.44031857187650447,gpu_hist,COMPLETE
4,7.837864643579707,1.8689411884680052,0.9445737361837299,rmse,0.017546423179203775,0.003105771433655427,20,131,reg:squarederror,0.49929987527624586,gpu_hist,COMPLETE
5,7.836734897909237,0.8024651942463225,0.36690592833743935,rmse,7.437515524306948,0.03026176633382036,13,293,reg:squarederror,0.7800734564428524,gpu_hist,COMPLETE
6,7.819908417064815,5.426544209757735,0.3919912709480603,rmse,0.0062554901413005275,0.009608342675480667,13,255,reg:squarederror,0.5631838652760321,gpu_hist,COMPLETE
7,7.828601634931311,0.3081921615416564,0.3864711464561372,rmse,0.012473338096659424,0.007691828374364237,9,286,reg:squarederror,0.40141129715859875,gpu_hist,COMPLETE
8,7.815344834655038,0.03215546249086053,0.5968637339496166,rmse,0.003160839181299158,0.010015269516220915,20,238,reg:squarederror,0.7255102412253946,gpu_hist,COMPLETE
9,7.9684509125440375,0.006375683375949591,0.30791795430762603,rmse,5.57695893223872,0.07304568164240678,11,207,reg:squarederror,0.5427645569976102,gpu_hist,COMPLETE
10,7.87700410897757,0.047393441450561784,0.6921933266236808,rmse,0.0011486881481098828,0.004691876425323556,3,149,reg:squarederror,0.6367398541557883,gpu_hist,COMPLETE
11,7.818517720399625,0.08587128979921997,0.5901693089484255,rmse,0.001427828726461327,0.021617428214250282,7,206,reg:squarederror,0.9894613782621808,gpu_hist,COMPLETE
12,7.8236981395267495,0.027670510792889517,0.7160819497654674,rmse,0.003631499928416432,0.01874416907241703,15,202,reg:squarederror,0.9939598498224942,gpu_hist,COMPLETE
13,8.200124229574893,0.2706995456716599,0.5457343844135553,rmse,0.08035905635833789,0.0010113922060336897,7,91,reg:squarederror,0.7626434447110391,gpu_hist,COMPLETE
14,7.823676879897157,0.24461154739115196,0.4749182933863722,rmse,0.003183514700731568,0.019315303195261375,5,243,reg:squarederror,0.8837163960477157,gpu_hist,COMPLETE
15,7.820338341997693,0.015513876853485641,0.8104993904333044,rmse,0.06583705432875722,0.012151588204269812,20,233,reg:squarederror,0.8726026450548607,gpu_hist,COMPLETE
16,7.929986181101261,0.10366015831404297,0.6331230436047846,rmse,0.001025751157097235,0.04488519840567267,20,180,reg:squarederror,0.6913333766257339,gpu_hist,COMPLETE
17,7.8454306767046225,0.6475388380612555,0.7809822997079134,rmse,0.0058771552207930134,0.005067843277989524,7,94,reg:squarederror,0.7939243658141976,gpu_hist,COMPLETE
18,7.894492255718958,0.002977544690569728,0.5195040647932003,rmse,0.9490624900571192,0.03756634382951875,17,180,reg:squarederror,0.6525447585311939,gpu_hist,COMPLETE
19,7.817072502096273,0.09573264911078629,0.4460664907832427,rmse,0.0023996297152001104,0.012069641419851845,15,228,reg:squarederror,0.9136125096196099,gpu_hist,COMPLETE
20,7.820949578485332,0.0251550026228688,0.5927144919805643,rmse,0.03524416911801715,0.01364755530754696,15,120,reg:squarederror,0.9194857413238311,gpu_hist,COMPLETE
21,7.825624690576888,0.09983141669925531,0.4488599162253635,rmse,0.00290859547309663,0.0058710619164266875,15,227,reg:squarederror,0.943375990244468,gpu_hist,COMPLETE
22,7.822212113258457,0.04992930007028872,0.4027328849855259,rmse,0.012497722753877965,0.02362878648412113,11,261,reg:squarederror,0.8306054872857292,gpu_hist,COMPLETE
23,7.8493460919234765,0.7058678860261092,0.5658736039548109,rmse,0.002213511033090234,0.014486699399037475,3,172,reg:squarederror,0.9478286993511827,gpu_hist,COMPLETE
24,7.816849412015094,0.2027752897218389,0.47256543845239624,rmse,0.005250799629322426,0.008544899881210695,20,299,reg:squarederror,0.7292174415608292,gpu_hist,COMPLETE
25,7.817821999451693,0.012466922480245819,0.6529738183311622,rmse,0.006067696085278367,0.008174751483149877,20,288,reg:squarederror,0.734596880944303,gpu_hist,COMPLETE
26,7.846787983892197,0.10554090919880066,0.5091076796893086,rmse,0.0078007058800591824,0.002972864607465647,20,271,reg:squarederror,0.6038104842616556,gpu_hist,COMPLETE
27,7.8514137957150965,0.03936500964538995,0.6253882743094441,rmse,0.18641230069116516,0.0064466075388700875,5,298,reg:squarederror,0.7036688255650738,gpu_hist,COMPLETE
28,7.834386532987679,1.4423344043102857,0.7537059126820727,rmse,0.03695619091696476,0.0036917933072659614,15,221,reg:squarederror,0.8387121926976847,gpu_hist,COMPLETE
29,7.8784510859959305,0.009822354437368539,0.8411823741142345,rmse,0.7139605025532137,0.0021242381633735964,20,258,reg:squarederror,0.7213548683063666,gpu_hist,COMPLETE
30,7.870037751504464,0.15198085272577805,0.45176421225965957,rmse,0.00381897865248503,0.011029082950939802,20,6,reg:squarederror,0.8118227044213838,gpu_hist,COMPLETE
31,7.887309290015953,0.3685932384016621,0.4373815094645538,rmse,0.0018423587856584228,0.09216207848959318,7,240,reg:squarederror,0.9184712072673181,gpu_hist,COMPLETE
32,7.872115262899341,0.06576418492847498,0.3440397823393023,rmse,0.0018821091260255627,0.06466237219878916,9,194,reg:squarederror,0.9712180565069027,gpu_hist,COMPLETE
33,7.819096361046117,0.1567323838662874,0.5047868488974873,rmse,0.01000714022065556,0.029391658553094783,7,276,reg:squarederror,0.8988108996592679,gpu_hist,COMPLETE
34,7.823213232614242,0.49819085561292736,0.4195910369142901,rmse,0.0044673774259625905,0.016635927484114237,17,248,reg:squarederror,0.7530717325323435,gpu_hist,COMPLETE
35,7.821956599379503,1.2464688826723729,0.5321478328736122,rmse,0.02277603401581794,0.009800746181442686,15,50,reg:squarederror,0.8529848416222889,gpu_hist,COMPLETE
36,7.8220695419442645,3.3260565535761253,0.47768856818811556,rmse,0.0010112075183031587,0.007486945838605545,13,218,reg:squarederror,0.6712689629409221,gpu_hist,COMPLETE
37,7.867168009124449,0.19898732315178722,0.3673284383316521,rmse,0.002401794703843928,0.031596471935256845,20,276,reg:squarederror,0.47558959340144874,gpu_hist,COMPLETE
38,7.849802287595768,0.0243638373131973,0.3367180310012666,rmse,0.018967809333676106,0.0039122333624969615,9,300,reg:squarederror,0.6127273296815527,gpu_hist,COMPLETE
